item_id,client_id,item_name,item_data_description,item_status,item_image,item_time
2891,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:17:56.000Z
2900,1,pir,pir,1,pir.png,2021-07-06T19:18:03.000Z
2903,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:18:09.000Z
2909,1,gas,gas,0,gas.png,2021-07-06T19:18:15.000Z
2914,1,ldr,ldr,0,ldr.png,2021-07-06T19:18:21.000Z
2916,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:18:27.000Z
2924,1,pir,pir,1,pir.png,2021-07-06T19:18:33.000Z
2928,1,gas,gas,0,gas.png,2021-07-06T19:18:39.000Z
2933,1,gas,gas,0,gas.png,2021-07-06T19:18:45.000Z
2937,1,dht/tc,temp,29.30,tem.png,2021-07-06T19:18:51.000Z
2943,1,ldr,ldr,0,ldr.png,2021-07-06T19:18:57.000Z
2947,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:19:03.000Z
2954,1,pir,pir,1,pir.png,2021-07-06T19:19:10.000Z
2957,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:19:16.000Z
2965,1,ldr,ldr,0,ldr.png,2021-07-06T19:19:22.000Z
2967,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:19:28.000Z
2974,1,ldr,ldr,0,ldr.png,2021-07-06T19:19:34.000Z
2976,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:19:40.000Z
2985,1,pir,pir,1,pir.png,2021-07-06T19:19:46.000Z
2990,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:19:52.000Z
2991,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:19:58.000Z
3000,1,pir,pir,1,pir.png,2021-07-06T19:20:04.000Z
3001,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:20:10.000Z
3009,1,pir,pir,1,pir.png,2021-07-06T19:20:16.000Z
3013,1,gas,gas,0,gas.png,2021-07-06T19:20:23.000Z
3017,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:20:29.000Z
3024,1,pir,pir,1,pir.png,2021-07-06T19:20:35.000Z
3027,1,gas,gas,0,gas.png,2021-07-06T19:20:41.000Z
3034,1,ldr,ldr,0,ldr.png,2021-07-06T19:20:47.000Z
3037,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:20:53.000Z
629,1,dht/tc,temp,30.00,tem.png,2021-07-06T18:31:54.000Z
635,1,pir,pir,1,pir.png,2021-07-06T18:32:00.000Z
640,1,dht/tc,temp,30.00,tem.png,2021-07-06T18:32:06.000Z
645,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:12.000Z
648,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:18.000Z
651,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:32:25.000Z
656,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:32:31.000Z
664,1,pir,pir,1,pir.png,2021-07-06T18:32:37.000Z
666,1,dht/tc,temp,29.80,tem.png,2021-07-06T18:32:43.000Z
671,1,dht/tc,temp,29.80,tem.png,2021-07-06T18:32:49.000Z
685,1,pir,pir,1,pir.png,2021-07-06T18:33:01.000Z
686,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:33:07.000Z
692,1,gas,gas,0,gas.png,2021-07-06T18:33:13.000Z
700,1,pir,pir,1,pir.png,2021-07-06T18:33:19.000Z
1035,1,pir,pir,1,pir.png,2021-07-06T18:40:07.000Z
1036,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:40:13.000Z
1045,1,pir,pir,1,pir.png,2021-07-06T18:40:19.000Z
1047,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:40:25.000Z
1055,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:40:31.000Z
1057,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:40:37.000Z
1064,1,ldr,ldr,0,ldr.png,2021-07-06T18:40:44.000Z
1066,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:40:50.000Z
1075,1,pir,pir,1,pir.png,2021-07-06T18:40:56.000Z
1078,1,gas,gas,0,gas.png,2021-07-06T18:41:02.000Z
1081,1,gas,gas,0,gas.png,2021-07-06T18:41:08.000Z
1089,1,pir,pir,1,pir.png,2021-07-06T18:41:14.000Z
1093,1,gas,gas,0,gas.png,2021-07-06T18:41:20.000Z
1099,1,dht/tc,temp,29.60,tem.png,2021-07-06T18:41:26.000Z
1102,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:41:32.000Z
1250,1,ldr,ldr,0,ldr.png,2021-07-06T18:44:35.000Z
1251,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:44:41.000Z
1260,1,pir,pir,1,pir.png,2021-07-06T18:44:47.000Z
1261,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:44:53.000Z
1264,1,dht/tc,temp,29.40,tem.png,2021-07-06T18:44:53.000Z
1267,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:44:59.000Z
1274,1,ldr,ldr,0,ldr.png,2021-07-06T18:45:05.000Z
1276,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:45:11.000Z
1285,1,pir,pir,1,pir.png,2021-07-06T18:45:17.000Z
1289,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:45:23.000Z
1292,1,gas,gas,0,gas.png,2021-07-06T18:45:29.000Z
1298,1,ldr,ldr,0,ldr.png,2021-07-06T18:45:36.000Z
1303,1,gas,gas,0,gas.png,2021-07-06T18:45:42.000Z
1308,1,gas,gas,0,gas.png,2021-07-06T18:45:48.000Z
1312,1,dht/tc,temp,29.60,tem.png,2021-07-06T18:45:54.000Z
1319,1,ldr,ldr,0,ldr.png,2021-07-06T18:46:00.000Z
1321,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:46:06.000Z
1326,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:46:12.000Z
1335,1,pir,pir,1,pir.png,2021-07-06T18:46:18.000Z
1337,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:46:24.000Z
1343,1,ldr,ldr,0,ldr.png,2021-07-06T18:46:30.000Z
1349,1,gas,gas,0,gas.png,2021-07-06T18:46:36.000Z
1352,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:46:42.000Z
1359,1,pir,pir,1,pir.png,2021-07-06T18:46:49.000Z
1363,1,gas,gas,0,gas.png,2021-07-06T18:46:55.000Z
1368,1,ldr,ldr,0,ldr.png,2021-07-06T18:47:01.000Z
1373,1,dht/tc,temp,29.60,tem.png,2021-07-06T18:47:07.000Z
1376,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:47:13.000Z
1385,1,pir,pir,1,pir.png,2021-07-06T18:47:19.000Z
1387,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:47:25.000Z
1394,1,ldr,ldr,0,ldr.png,2021-07-06T18:47:31.000Z
1580,1,gas,gas,0,gas.png,2021-07-06T18:51:16.000Z
1581,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:51:22.000Z
1587,1,ldr,ldr,0,ldr.png,2021-07-06T18:51:28.000Z
1842,1,gas,gas,0,gas.png,2021-07-06T18:56:39.000Z
1849,1,ldr,ldr,0,ldr.png,2021-07-06T18:56:45.000Z
1853,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:56:51.000Z
1860,1,ldr,ldr,0,ldr.png,2021-07-06T18:56:57.000Z
1861,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:57:03.000Z
1870,1,pir,pir,1,pir.png,2021-07-06T18:57:09.000Z
1873,1,gas,gas,0,gas.png,2021-07-06T18:57:15.000Z
1879,1,ldr,ldr,0,ldr.png,2021-07-06T18:57:21.000Z
1881,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:57:27.000Z
1890,1,pir,pir,1,pir.png,2021-07-06T18:57:33.000Z
2290,1,pir,pir,1,pir.png,2021-07-06T19:05:40.000Z
2291,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:05:46.000Z
2299,1,pir,pir,1,pir.png,2021-07-06T19:05:52.000Z
2302,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:05:58.000Z
2308,1,gas,gas,0,gas.png,2021-07-06T19:06:05.000Z
2315,1,ldr,ldr,0,ldr.png,2021-07-06T19:06:11.000Z
