item_id,client_id,item_name,item_data_description,item_status,item_image,item_time
31452,1,"led","led","0","ldr.png","2021-07-10T05:33:41.000Z"
31453,1,"led","led","1","ldr.png","2021-07-10T05:33:44.000Z"
31454,1,"led","led","0","ldr.png","2021-07-10T05:33:47.000Z"
31455,1,"led","led","1","ldr.png","2021-07-10T05:33:48.000Z"
31456,1,"led","led","0","ldr.png","2021-07-10T05:33:51.000Z"
31457,1,"led","led","1","ldr.png","2021-07-10T05:33:54.000Z"
31587,1,"led","led","0","ldr.png","2021-07-10T05:44:12.000Z"
31558,1,"led","led","0","ldr.png","2021-07-10T05:43:54.000Z"
31581,1,"led","led","1","ldr.png","2021-07-10T05:44:07.000Z"
31564,1,"led","led","1","ldr.png","2021-07-10T05:43:56.000Z"
31575,1,"led","led","0","ldr.png","2021-07-10T05:44:04.000Z"
31447,1,"led","led","","ldr.png","2021-07-10T05:31:58.000Z"
31446,1,"led","led","","ldr.png","2021-07-10T05:31:55.000Z"
31448,1,"led","led","","ldr.png","2021-07-10T05:32:19.000Z"
31449,1,"led","led","","ldr.png","2021-07-10T05:32:21.000Z"
31450,1,"led","led","","ldr.png","2021-07-10T05:32:22.000Z"
31451,1,"led","led","","ldr.png","2021-07-10T05:32:24.000Z"
36235,1,"led","led","null","led.png","2021-07-10T07:15:00.000Z"
36236,1,"led","led","null","led.png","2021-07-10T07:26:07.000Z"
36237,1,"led","led","1","led.png","2021-07-10T07:31:25.000Z"
36238,1,"led","led","null","led.png","2021-07-10T07:35:30.000Z"
36239,1,"led","led","null","led.png","2021-07-10T07:38:40.000Z"
36240,1,"led","led","null","led.png","2021-07-10T07:42:15.000Z"
36241,1,"led","led","null","led.png","2021-07-10T07:43:35.000Z"
36242,1,"led","led","null","led.png","2021-07-10T07:48:23.000Z"
36243,1,"led","led","0","led.png","2021-07-10T08:47:23.000Z"
36244,1,"led","led","0","led.png","2021-07-10T08:47:25.000Z"
36245,1,"led","led","0","led.png","2021-07-10T08:50:19.000Z"
36246,1,"led","led","0","led.png","2021-07-10T08:50:20.000Z"
36247,1,"led","led","1","led.png","2021-07-10T08:50:23.000Z"
36248,1,"led","led","0","led.png","2021-07-10T08:50:23.000Z"
36249,1,"led","led","0","led.png","2021-07-10T08:50:24.000Z"
36250,1,"led","led","0","led.png","2021-07-10T08:50:26.000Z"
36251,1,"led","led","0","led.png","2021-07-10T08:50:27.000Z"
36252,1,"led","led","0","led.png","2021-07-10T08:50:28.000Z"
36253,1,"led","led","0","led.png","2021-07-10T08:50:29.000Z"
36254,1,"led","led","0","led.png","2021-07-10T08:50:30.000Z"
36255,1,"led","led","null","led.png","2021-07-10T09:10:20.000Z"
34400,1,"led","led","1","led.png","2021-07-10T06:03:53.000Z"
34143,1,"led","led","0","led.png","2021-07-10T06:02:10.000Z"
34289,1,"led","led","0","led.png","2021-07-10T06:03:09.000Z"
35117,1,"led","led","0","led.png","2021-07-10T06:09:40.000Z"
35128,1,"led","led","1","led.png","2021-07-10T06:09:47.000Z"
35086,1,"led","led","0","led.png","2021-07-10T06:09:27.000Z"
35159,1,"led","led","0","led.png","2021-07-10T06:10:01.000Z"
